"","title","writer","written","rating","comment"
"818","Majestic","Champagne L","Dec 2019",5,"a must visit so much culture beauty love the light of this structure definitely worth the visit for me is a solid yes"
"819","A must, the museum of looting","Pilar40","Dec 2019",4,"a poignant experience always the british made swum has emblematic pieces torn from various corners of the world literally grabbed cut out hacked out some of these treasures are almost painful to look at such as the elgin marbles last room on the left at ground level…"
"820","Fabulous ","km10000","Dec 2019",5,"we had a great voyage of humanity of all time in two hours the quantity and the quality of the evidence of humanity that they have collected here are so overwhelming it makes your mind literally trip trough all eras of all over the world we followed one of the trails…"
"821","A unique and beautiful building","Melanie J","Dec 2019",5,"a unique and beautiful building in itself it not only there are not only interesting exhibition and collections but it also hosts an array of fabulous events"
"822","Free and interesting","lauraruthz","Dec 2019",4,"theres quite a lot to see and the main attractions can get quite crowded it was difficult to see the rosetta stone for example its worthwhile to get a tour so you dont miss some of the key items like the sutton hoo viking stuff and the easter island head there was no…"
"823","Amazing artefacts but a nightmare to get around","Mairéad M","Dec 2019",3,"if you want a one stop location to learn about the history of the world then this is the right place however even with a map it was difficult to navigate through all the different floors and hallways you also need a lot of time to get through each section so if on a short…"
"824","My kids really enjoyed it.","Ilyana","Dec 2019",5,"one of the best museums weve been to as a family extensive collection some of the highlights include the ancient egypt mummies and the kings library  has good amenities and souvenir shop will go again"
"825","The best museum in the world!","arlenalovetravel","Dec 2019",5,"i was told by a man older and more knowledgeable than i that the british museum has the largest and best collection in the world i can only say i was impressed and i loved it it is free so why not go and see real mummies check out the rosetta stone that helped humanity…"
"826","A visit all over the world","Leonard Whyatt","Dec 2019",4,"great experience and great value i have been there with my wife and children and it was a wonderful experience "
"827","A week would not be enough - amazing","Tiggerifix108","Dec 2019",5,"we visited here for an afternoon and only scratched the surface  if we did that truly amazing the exhibits are brilliant and give such a history we visited again for a couple of hours on the last day of our three days in the city and saw a little more but i figure you could…"
"828","Amazing experience!","CarolynJW29","Dec 2019",5,"we spent the best part of the day here it was so diverse and totally amazing we walked  steps around the museum and i am sure we didnt see everything a must visit definitely"
