"title","comment","trip","writer","written","rating"
"A friend told us about this museum","We stayed right around the corner from the British Museum and had to visit and see what our friend was talking about. The museum had plenty of historic artifacts that covered most of the globe. It was great to see so many people enjoying the sites.","April 2019","FiveD M","Feb 2020",4
"Lovely museum ","Wow amazing displays and very well designed to allow for us to enjoy the most of it in short time. A must visit ","August 2019","patricktU8533YD","Feb 2020",5
"Just Wow!","I’d heard a lot about The British Museum. My father had been many years previously, but I had not been in the capital for over 50 years, when I was 4. I had an itinerary for my 4 days in London, as well as a to-do list what to see in each museum. The three top items I wanted to…","January 2020","collavfc","Feb 2020",5
"Simply Amazing!","I have never been interested visiting museums but since I had spare time on last day of my visit. I found it beyond all imaginations. A must visit for all travellers.","March 2019","Pritam G","Feb 2020",5
"Rosetta Stone was incredible to see","Spent over an hour in the Egyptian room  as well as seeing the Rosetta Stone and exploring the main entrance.  So much to see so a return trip (s) are in the future. Incredible collection","February 2020","SaraDeb119","Feb 2020",5
"Always worth a visit","Every year we visit London and I always manage a visit. I am studying Egyptology and love seeing the exhibits fir Egypt and the Near East. There are still parts of the museum that I haven't seen yet.","November 2019","Carole G","Feb 2020",5
"Troy","Well curated and displayed exhibition. Could have been stronger on the basis of the myths, and rather pricey, but nevertheless worth visiting. ","February 2020","Mark Cheshire","Feb 2020",4
"Great place.  Need two days or more to see it all","LOTS of great and historic items and displays.  Recommend at least two days to see and appreciate it all.","December 2019","Bruce","Feb 2020",5
"Top London attraction","This massive museum offers much to learn, you would need days and days to see most of it. It has impressive ancient Egypt, Mesopotamia, Greece and Asian cultures collections. If you're visiting London and if you're interested in history at all it's definitely a must see.","February 2020","KittyCatLady98","Feb 2020",5
"A Top Museum in London","I love the British Museum. It has everything a history buff like me could hope for. It is clean, well-organised and has helpful, well-trained staff. I especially love the egyptological exhibitions. I do realise that many of the artefacts have been stolen from other countries…","January 2020","J. Ackermann","Feb 2020",5
"Best Museum In the World (in my opinion).","I love going to the British Museum and just wondering around looking at the treasure. It lovely that there is no entrance as I can dip in and out when I feel the mood. The glassed-in inner part is so lovely to sit to have a coffee.   ","August 2019","Davidpageant","Feb 2020",4
"Excellent","The British Museum is the world’s oldest national public museum and is the best spot of the world´s History. Just amazing!","March 2019","Lubélia D","Feb 2020",5
"Sorolla exhibition","Beautifully presented wonderful comprehensive well researched excellent exhibition-typical of the National Gallery","March 2019","Charlie C","Feb 2020",5
"A tour around the world in 90 minutes","I had already visited the Museum a long time ago. This guided tour was an opportunity to review the marvels that the British Museum has to show us and also the new additions in terms of building and exhibits.  An excellent guide. A wonderful Museum ti visit again and again.","January 2020","Maria José","Feb 2020",5
"One of the best museums in the world","Next to its permanent collection the British always has high value collections and expositions that led me to become member to help the museum!","April 2019","Sylvestre B","Feb 2020",5
"Super fun","Very interesting exhibition, could be fun with kids, as well. Related entertainment in the aula. Good coffee. No queue.","February 2020","nagyrita","Feb 2020",5
"Great place to see history","Great exhibitions but can get very busy. Very interesting if you have the time. The only downside is some of the exhibitions are paid for.","February 2020","Amandeep S","Feb 2020",4
"Nice museum.","So hot in here.Loved seeing the Rosetta stone,Elgin marbles.Enjoyed it.Wish it wasnt so hot.Nice gift shop.","November 2019","Lisa J","Feb 2020",4
"Awesome museum, the best in the world","It's one od the best museums in the world. I loved the the way everything is displayed and the history behind it all. I have been to so many places in the world , but this surely remains my favourite musueum.","October 2019","Suejata","Feb 2020",5
"Must be there , never miss one of the best museum in the World","Spare at least 3 hr to visit this place , they will bring you back in time from mummy to present , from Africa to Asia. Must visit zone about Egyptian history and Greek-Roman Exhibition. Pls come early to avoid issue OOS of head phone service.","December 2019","Chanond08","Feb 2020",5
"A Foggy Day","I think I saw more well preserved mummies in London than in Egypt. This is a fascinating museum to visit. But you must get there hours before it opens -- in order to assure yourself the self-audio tour. The details within the audio are worth the purchase. Every time I go to…","July 2019","Jerome R","Feb 2020",5
